Ano,Idcomu,Comunidad,Codigo,Funcion,Total
2006,15,navarra,31,Sanidad,7.31319913E8
2006,15,navarra,32,Educación,5.08625826E8
2006,15,navarra,33,Cultura,9.2946271E7
2006,15,navarra,41,"Agricultura, Pesca y Alimentación",1.22651905E8
2006,15,navarra,42,Industria y Energía,1.56484603E8
2006,15,navarra,43,"Comercio, Turismo y Pymes",1.8400641E7
2006,15,navarra,44,Subvenciones al Transporte,6860189
2006,15,navarra,45,Infraestructuras,2.13880357E8
2006,15,navarra,46,"Investigación, Desarrollo e Innovación",6.4340609E7
2006,15,navarra,49,Otras Actuaciones de Carácter Económico,1.4371263E7
2006,15,navarra,91,Alta Dirección,1.883022E7
2006,15,navarra,92,Servicios de Carácter General,9.9427179E7
2006,15,navarra,93,Administración Financiera y Tributaria,2.7220057E7
2006,15,navarra,94,Transferencias a otras Administraciones Públicas,6.52287006E8
2006,15,navarra,95,Deuda Pública,3.4494001E7
2006,16,paísvasco,11,Justicia,1.26013548E8
2006,16,paísvasco,13,Seguridad Ciudadana e Instituciones Penitenciarias,5.21457703E8
2006,16,paísvasco,14,Política Exterior,4.4864905E7
2006,16,paísvasco,21,Pensiones,0
2006,16,paísvasco,22,Otras Prestaciones Económicas,0
2006,16,paísvasco,23,Servicios Sociales y Promoción Social,3.12763464E8
2006,16,paísvasco,24,Fomento del Empleo,7.7612268E7
2006,16,paísvasco,26,Acceso a la Vivienda y Fomento de la Edificación,1.89076382E8
2006,16,paísvasco,29,Gestión y Administración de la Seguridad Social,0
2006,16,paísvasco,31,Sanidad,2.513300399E9
2006,16,paísvasco,32,Educación,2.093549995E9
2006,16,paísvasco,33,Cultura,6.6631037E7
2006,16,paísvasco,41,"Agricultura, Pesca y Alimentación",1.36402709E8
2006,16,paísvasco,42,Industria y Energía,5.2536445E7
2006,16,paísvasco,43,"Comercio, Turismo y Pymes",6.1322129E7
2006,16,paísvasco,44,Subvenciones al Transporte,0
2006,16,paísvasco,45,Infraestructuras,3.92249469E8
2006,16,paísvasco,46,"Investigación, Desarrollo e Innovación",2.38033886E8
2006,16,paísvasco,49,Otras Actuaciones de Carácter Económico,7.5447344E7
2006,16,paísvasco,91,Alta Dirección,5.0918908E7
2006,16,paísvasco,92,Servicios de Carácter General,3.94381712E8
2006,16,paísvasco,93,Administración Financiera y Tributaria,5.5346395E7
2006,16,paísvasco,94,Transferencias a otras Administraciones Públicas,0
2006,16,paísvasco,95,Deuda Pública,2.28975142E8
2006,17,rioja,11,Justicia,0
2006,17,rioja,13,Seguridad Ciudadana e Instituciones Penitenciarias,8610617
2006,17,rioja,14,Política Exterior,5394877
2006,17,rioja,21,Pensiones,60000
2006,17,rioja,22,Otras Prestaciones Económicas,0
2006,17,rioja,23,Servicios Sociales y Promoción Social,7.4661119E7
2006,17,rioja,24,Fomento del Empleo,6.5549503E7
2006,17,rioja,26,Acceso a la Vivienda y Fomento de la Edificación,1.801565E7
2006,17,rioja,29,Gestión y Administración de la Seguridad Social,0
2006,17,rioja,31,Sanidad,4.23931392E8
2006,17,rioja,32,Educación,2.05278827E8
2006,17,rioja,33,Cultura,2.3528831E7
2006,17,rioja,41,"Agricultura, Pesca y Alimentación",4.3677784E7
2006,17,rioja,42,Industria y Energía,3590992
2006,17,rioja,43,"Comercio, Turismo y Pymes",1.5560015E7
2006,17,rioja,44,Subvenciones al Transporte,0
2006,17,rioja,45,Infraestructuras,1.18331789E8
2006,17,rioja,46,"Investigación, Desarrollo e Innovación",5200768
2006,17,rioja,49,Otras Actuaciones de Carácter Económico,5995261
2006,17,rioja,91,Alta Dirección,1.3647799E7
2006,17,rioja,92,Servicios de Carácter General,4.4069741E7
2006,17,rioja,93,Administración Financiera y Tributaria,1.0566465E7
2006,17,rioja,94,Transferencias a otras Administraciones Públicas,0
2006,17,rioja,95,Deuda Pública,2.730357E7
2006,10,comunidadvalenciana,11,Justicia,1.7932757E8
2006,10,comunidadvalenciana,13,Seguridad Ciudadana e Instituciones Penitenciarias,5.784111E7
2006,10,comunidadvalenciana,14,Política Exterior,3.318293E7
2006,10,comunidadvalenciana,21,Pensiones,2583010
2006,10,comunidadvalenciana,22,Otras Prestaciones Económicas,0
2006,10,comunidadvalenciana,23,Servicios Sociales y Promoción Social,4.6923085E8
2006,10,comunidadvalenciana,24,Fomento del Empleo,4.067934E8
2006,10,comunidadvalenciana,26,Acceso a la Vivienda y Fomento de la Edificación,2.399444E8
2006,10,comunidadvalenciana,29,Gestión y Administración de la Seguridad Social,0
2006,10,comunidadvalenciana,31,Sanidad,4.59443369E9
2006,10,comunidadvalenciana,32,Educación,3.17654932E9
2006,10,comunidadvalenciana,33,Cultura,3.8700289E8
2006,10,comunidadvalenciana,41,"Agricultura, Pesca y Alimentación",4.2740544E8
2006,10,comunidadvalenciana,42,Industria y Energía,1.2799449E8
2006,10,comunidadvalenciana,43,"Comercio, Turismo y Pymes",1.3513363E8
2006,10,comunidadvalenciana,44,Subvenciones al Transporte,0
2006,10,comunidadvalenciana,45,Infraestructuras,6.4669391E8
2006,10,comunidadvalenciana,46,"Investigación, Desarrollo e Innovación",9.111771E7
2006,10,comunidadvalenciana,49,Otras Actuaciones de Carácter Económico,8.241964E7
2006,10,comunidadvalenciana,91,Alta Dirección,6.564741E7
2006,10,comunidadvalenciana,92,Servicios de Carácter General,1.9227731E8
2006,10,comunidadvalenciana,93,Administración Financiera y Tributaria,7.781122E7
2006,10,comunidadvalenciana,94,Transferencias a otras Administraciones Públicas,0
2006,10,comunidadvalenciana,95,Deuda Pública,4.5652145E8
2006,18,ceuta,11,Justicia,0
2006,18,ceuta,13,Seguridad Ciudadana e Instituciones Penitenciarias,2946660.6
2006,18,ceuta,14,Política Exterior,0
2006,18,ceuta,21,Pensiones,0
2006,18,ceuta,22,Otras Prestaciones Económicas,0
2006,18,ceuta,23,Servicios Sociales y Promoción Social,1.116749511E7
2006,18,ceuta,24,Fomento del Empleo,4178888.03
2006,18,ceuta,26,Acceso a la Vivienda y Fomento de la Edificación,1.714E7
2006,18,ceuta,29,Gestión y Administración de la Seguridad Social,0
2006,18,ceuta,31,Sanidad,1703555.65
2006,18,ceuta,32,Educación,6367672.21
2006,18,ceuta,33,Cultura,1.554978692E7
2006,18,ceuta,41,"Agricultura, Pesca y Alimentación",233725
2006,18,ceuta,42,Industria y Energía,2444070
2006,18,ceuta,43,"Comercio, Turismo y Pymes",6765597.8
2006,18,ceuta,44,Subvenciones al Transporte,0
2006,18,ceuta,45,Infraestructuras,4.605278379E7
